ars,name,designation,postal_code,district,state,lat,lng,population
072355007001,Aach,,54298,Trier-Saarburg,Rheinland-Pfalz,49.789601,6.590527,1059
083355001001,Aach,Stadt,78267,Konstanz,Baden-Württemberg,47.8428,8.851043,2377
053340002002,Aachen,Stadt,52058,Städteregion Aachen,Nordrhein-Westfalen,50.773516,6.0848,262670
081365001088,Aalen,Stadt,73430,Ostalbkreis,Baden-Württemberg,48.835057,10.092337,67621
064390001001,Aarbergen,,65326,Rheingau-Taunus-Kreis,Hessen,50.24602,8.076766,6210
010615168001,Aasbüttel,,25560,Steinburg,Schleswig-Holstein,54.067271,9.441789,163
095760111111,Abenberg,St,91183,Roth,Bayern,49.241703,10.963645,5547
095769451451,Abenberger Wald,,,Roth,Bayern,49.230549,10.980497,0
092730111111,Abensberg,St,93326,Kelheim,Bayern,48.81553,11.848622,15061
071345002001,Abentheuer,,55767,Birkenfeld,Rheinland-Pfalz,49.65142,7.100474,427
095775532111,Absberg,M,91720,Weißenburg-Gunzenhausen,Bayern,49.14455,10.881266,1437
081255012001,Abstatt,,74232,Heilbronn,Baden-Württemberg,49.068456,9.290986,4975
160655052001,Abtsbessingen,,99713,Kyffhäuserkreis,Thüringen,51.259592,10.762472,463
081360002002,Abtsgmünd,,73453,Ostalbkreis,Baden-Württemberg,48.894913,10.002231,7501
064310001001,Abtsteinach,,69518,Bergstraße,Hessen,49.544051,8.786237,2405
096755614111,Abtswind,M,97355,Kitzingen,Bayern,49.77071,10.372217,843
071335010001,Abtweiler,,55568,Bad Kreuznach,Rheinland-Pfalz,49.744287,7.656343,195
084365007001,Achberg,,88147,Ravensburg,Baden-Württemberg,47.615122,9.713856,1709
083175001001,Achern,Stadt,77855,Ortenaukreis,Baden-Württemberg,48.628851,8.074429,26733
033610001001,Achim,Stadt,28832,Verden,Niedersachsen,53.01301,9.033031,32870
092765238111,Achslach,,94250,Regen,Bayern,48.971237,12.935494,969
084265005001,Achstetten,,88480,Biberach,Baden-Württemberg,48.258983,9.898085,5116
071375003001,Acht,,56729,Mayen-Koblenz,Rheinland-Pfalz,50.369975,7.072376,83
071345002002,Achtelsbach,,55767,Birkenfeld,Rheinland-Pfalz,49.624529,7.090023,377
010585803001,Achterwehr,,24239,Rendsburg-Eckernförde,Schleswig-Holstein,54.313379,9.96576,1043
010545489001,Achtrup,,25917,Nordfriesland,Schleswig-Holstein,54.788981,9.028319,1568
081175008001,Adelberg,,73099,Göppingen,Baden-Württemberg,48.762533,9.598555,1961
031590001001,Adelebsen,Flecken,37139,Göttingen,Niedersachsen,51.579059,9.753742,6180
033515404001,Adelheidsdorf,,29352,Celle,Niedersachsen,52.565363,10.059931,2660
081365003003,Adelmannsfelden,,73486,Ostalbkreis,Baden-Württemberg,48.954324,10.003628,1732
091765118111,Adelschlag,,85111,Eichstätt,Bayern,48.83914,11.223138,3016
095720111111,Adelsdorf,,91325,Erlangen-Höchstadt,Bayern,49.714781,10.892848,9126
082255009001,Adelsheim,Stadt,74740,Neckar-Odenwald-Kreis,Baden-Württemberg,49.401957,9.391601,5207
091795131111,Adelshofen,,82276,Fürstenfeldbruck,Bayern,48.18313,11.116705,1893
095715501111,Adelshofen,,91587,Ansbach,Bayern,49.439981,10.175,908
097720111111,Adelsried,,86477,Augsburg,Bayern,48.425522,10.719444,2610
097715704111,Adelzhausen,,86559,Aichach-Friedberg,Bayern,48.35707,11.137667,1844
071315001001,Adenau,Stadt,53518,Ahrweiler,Rheinland-Pfalz,50.382256,6.930224,2935
073365008001,Adenbach,,67742,Kusel,Rheinland-Pfalz,49.669273,7.647541,146
031515406001,Adenbüttel,,38528,Gifhorn,Niedersachsen,52.379328,10.450974,1789
033550001001,Adendorf,,21365,Lüneburg,Niedersachsen,53.287818,10.443754,10818
092740111111,Adlkofen,,84166,Landshut,Bayern,48.546258,12.263378,4517
130725251001,Admannshagen-Bargeshagen,,18211,Landkreis Rostock,Mecklenburg-Vorpommern,54.111554,11.984106,2933
145230010010,Adorf/Vogtl.,Stadt,08626,Vogtlandkreis,Sachsen,50.320622,12.256069,4451
010615179002,Aebtissinwisch,,25572,Steinburg,Schleswig-Holstein,53.970611,9.289846,43
032520001001,Aerzen,Flecken,31855,Hameln-Pyrmont,Niedersachsen,52.046638,9.261633,10424
081185005001,Affalterbach,,71563,Ludwigsburg,Baden-Württemberg,48.923115,9.323455,4364
097710112112,Affing,,86444,Aichach-Friedberg,Bayern,48.457486,10.981809,5575
032515406001,Affinghausen,,27257,Diepholz,Niedersachsen,52.782963,8.87991,805
072325005001,Affler,,54689,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,50.013966,6.153528,30
033595405001,Agathenburg,,21684,Stade,Niedersachsen,53.562845,9.528825,1371
010615168003,Agethorst,,25560,Steinburg,Schleswig-Holstein,54.01935,9.436454,191
082255003002,Aglasterhausen,,74858,Neckar-Odenwald-Kreis,Baden-Württemberg,49.35493,8.989348,4825
092745223112,Aham,,84168,Landshut,Bayern,48.527421,12.463766,1951
055540004004,Ahaus,Stadt,48683,Borken,Nordrhein-Westfalen,52.076104,7.005037,40176
033575406001,Ahausen,,27367,Rotenburg (Wümme),Niedersachsen,53.062929,9.313313,1894
130755552001,Ahlbeck,,17375,Vorpommern-Greifswald,Mecklenburg-Vorpommern,53.669524,14.185341,603
033585401001,Ahlden (Aller),Flecken,29693,Heidekreis,Niedersachsen,52.759772,9.552615,1573
